Nombre,Tipo,Fecha inicio,Fecha fin,GPS,Municipio,Precio,Provincia
Literatur Amuak 2022,Festival,20221027,20221101,"43.320698,-2.420475",Ondarroa,0,Bizkaia
Gala Lírica 2022: Arias De Óperas Y Zarzuelas,Concierto,20221101,20221101,"43.054361,-2.333641",Legazpi,Gratis,Gipuzkoa
Feria De La Edición De Navarra 2022,Feria,20221026,20221101,"42.817643,-1.648541",Pamplona/Iruña,0,Navarra
Certamen Coral De Tolosa 2022,Festival,20221028,20221101,"43.136978,-2.073914",Tolosa,0,Gipuzkoa
Literatur Amuak 2022: Kotondarrak,Actividad Infantil,20221101,20221101,"43.320698,-2.420475",Ondarroa,0,Bizkaia
Hopper Oilaskoerbia (Estreno),Proyección Audiovisual,20221028,20221101,"43.312752,-1.899633",Errenteria,0,Gipuzkoa
Hopper Oilaskoerbia (Estreno),Proyección Audiovisual,20221028,20221101,"42.846718,-2.671635",Vitoria-Gasteiz,0,Araba
Hopper Oilaskoerbia (Estreno),Proyección Audiovisual,20221028,20221101,"43.320725,-1.984449",Donostia-San Sebastián,0,Gipuzkoa
Hopper Oilaskoerbia (Estreno),Proyección Audiovisual,20221029,20221101,"43.256963,-2.923441",Bilbao,0,Bizkaia
Hopper Oilaskoerbia (Estreno),Proyección Audiovisual,20221028,20221101,"42.749327,-1.673962",Galar,0,Navarra
Act Festival 2022: Signature Snippets,Teatro,20221102,20221102,"43.256963,-2.923441",Bilbao,12€,Bizkaia
Act Festival 2022: Personas Escandalosas Que No Caben En El Mundo,Teatro,20221102,20221102,"43.256963,-2.923441",Bilbao,12€,Bizkaia
Act Festival 2022: Punto Y Seguido,Danza,20221102,20221102,"43.256963,-2.923441",Bilbao,12€,Bizkaia
Euskadiko Orkestra: Fantasmas,Concierto,20221102,20221102,"43.256963,-2.923441",Bilbao,10 / 38 €,Bizkaia
Rumbo,Concierto,20221102,20221102,"43.256963,-2.923441",Bilbao,5 €,Bizkaia
Antzerki Aroa 2022: Trapu Zikinak,Teatro,20221102,20221102,"42.817643,-1.648541",Pamplona/Iruña,8 €,Navarra
Ballet Clásico De Ucrania: La Bella Durmiente,Danza,20221102,20221102,"42.817643,-1.648541",Pamplona/Iruña,"28,05€ - 37€",Navarra
Taller: Fotobordado,Formación,20221102,20221102,"42.846718,-2.671635",Vitoria-Gasteiz,"2,5€",Araba
Carnavales De Donostia/San Sebastián 2023: Concurso De Carteles,Concurso,20221020,20221102,"43.320725,-1.984449",Donostia-San Sebastián,0,Gipuzkoa
Ciclo Nosferatu Zinemaldia 70: Pusher: Un Paseo Por El Abismo,Proyección Audiovisual,20221102,20221102,"43.320725,-1.984449",Donostia-San Sebastián,4 €,Gipuzkoa
"Exposición: Camino De Santiago: Paisajes, Momentos, Rincones",Exposición,20221017,20221102,"42.846718,-2.671635",Vitoria-Gasteiz,Gratis,Araba
Ameli Eta Xirrikituen Jostunek: Arimen Gaua,Actividad Infantil,20221102,20221102,"42.846718,-2.671635",Vitoria-Gasteiz,0,Araba
Una Nueva Escalera. Cultura Y Sostenibilidad,Formación,20221102,20221102,"43.320725,-1.984449",Donostia-San Sebastián,Gratis,Gipuzkoa
